holding_identifier,company_name,old_sector,new_sector,old_gics_subindustry_code,new_gics_subindustry_code,effective_close_date,new_sector_valid_from,change_group,primary_source_url,secondary_source_url,evidence_note
339041105,FleetCor Technologies Inc,Information Technology,Financials,45102020,40201060,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
37940X102,Global Payments Inc,Information Technology,Financials,45102020,40201060,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
426281101,Jack Henry & Associates Inc,Information Technology,Financials,45102020,40201060,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
57636Q104,Mastercard Inc,Information Technology,Financials,45102020,40201060,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
704326107,Paychex Inc,Information Technology,Industrials,45102020,20202010,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
70432V102,Paycom Software Inc,Information Technology,Industrials,45103010,20202010,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
70450Y103,PayPal Holdings Inc,Information Technology,Financials,45102020,40201060,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
87612E106,Target Corp,Consumer Discretionary,Consumer Staples,25503020,30101040,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
92826C839,Visa Inc,Information Technology,Financials,45102020,40201060,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
22160N109,CoStar Group Inc,Industrials,Real Estate,20202020,60201040,2023-06-30,2023-07-03,COMPANY_SPECIFIC,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=%2FjloM10JP6g%3D,,MSCI GICS announcement states CoStar Group changes from Research & Consulting Services to Real Estate Services as of the close of 2023-06-30.
