security_key,canonical_company_name,ticker_segment_count,latest_project_ticker,ticker_history_pipe,multiple_ticker_segments_flag,security_table_ticker,exact_legal_name_alias,suffix_stripped_alias_candidate,suffix_stripped_diff_flag,base_token_count,base_alias_length,exact_alias_security_count,duplicate_exact_alias_flag,ticker_like_exact_name_flag,structural_ambiguity_tier,current_name_point_in_time_validated,production_alias_status,production_aliases_pipe,historical_name_review_flag,review_priority,review_reason
ALB,ALBEMARLE CORP,1,ALB,ALB[?→OPEN],0,,albemarle corp,albemarle,1,1,9,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,albemarle corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ALL,ALLSTATE CORP,1,ALL,ALL[?→OPEN],0,,allstate corp,allstate,1,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,allstate corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ALLE,ALLEGION PLC,1,ALLE,ALLE[?→OPEN],0,,allegion plc,allegion,1,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,allegion plc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
AMCR,AMCOR PLC,1,AMCR,AMCR[?→OPEN],0,,amcor plc,amcor,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,amcor plc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
AME,AMETEK INC,1,AME,AME[?→OPEN],0,,ametek inc,ametek,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,ametek inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
AMGN,AMGEN INC,1,AMGN,AMGN[?→OPEN],0,,amgen inc,amgen,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,amgen inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
AMTM,Amentum,1,AMTM,AMTM[?→OPEN],0,,amentum,amentum,0,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,amentum,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ANSS,ANSYS,1,ANSS,ANSS[?→OPEN],0,,ansys,ansys,0,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,ansys,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
APA,APA CORP,1,APA,APA[?→OPEN],0,,apa corp,apa,1,1,3,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,apa corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
APP,AppLovin,1,APP,APP[?→OPEN],0,,applovin,applovin,0,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,applovin,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
APTV,APTIV PLC,1,APTV,APTV[?→OPEN],0,,aptiv plc,aptiv,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,aptiv plc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
AVGO,BROADCOM INC,1,AVGO,AVGO[?→OPEN],0,,broadcom inc,broadcom,1,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,broadcom inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
AZO,AUTOZONE INC,1,AZO,AZO[?→OPEN],0,,autozone inc,autozone,1,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,autozone inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
BALL,BALL CORP,1,BALL,BALL[?→OPEN],0,,ball corp,ball,1,1,4,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,ball corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
BBY,BEST BUY CO INC,1,BBY,BBY[?→OPEN],0,,best buy co inc,best buy,1,2,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,best buy co inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
BG,Bunge,1,BG,BG[?→OPEN],0,,bunge,bunge,0,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,bunge,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
BIIB,BIOGEN INC,1,BIIB,BIIB[?→OPEN],0,,biogen inc,biogen,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,biogen inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
BKNG,BOOKING HOLDINGS INC,1,BKNG,BKNG[?→OPEN],0,,booking holdings inc,booking,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,booking holdings inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
BLK,BLACKROCK INC,1,BLK,BLK[?→OPEN],0,,blackrock inc,blackrock,1,1,9,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,blackrock inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
BWA,Borgwarner,1,BWA,BWA[?→OPEN],0,,borgwarner,borgwarner,0,1,10,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,borgwarner,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
BX,Blackstone,1,BX,BX[?→OPEN],0,,blackstone,blackstone,0,1,10,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,blackstone,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
BXP,BXP INC,1,BXP,BXP[?→OPEN],0,,bxp inc,bxp,1,1,3,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,bxp inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
C,CITIGROUP INC,1,C,C[?→OPEN],0,,citigroup inc,citigroup,1,1,9,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,citigroup inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CAT,CATERPILLAR INC,1,CAT,CAT[?→OPEN],0,,caterpillar inc,caterpillar,1,1,11,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,caterpillar inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CB,CHUBB LTD,1,CB,CB[?→OPEN],0,,chubb ltd,chubb,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,chubb ltd,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CCL,CARNIVAL CORP LTD,1,CCL,CCL[?→OPEN],0,,carnival corp ltd,carnival,1,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,carnival corp ltd,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CE,Celanese,1,CE,CE[?→OPEN],0,,celanese,celanese,0,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,celanese,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CERN,Cerner,1,CERN,CERN[?→OPEN],0,,cerner,cerner,0,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,cerner,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CLX,CLOROX COMPANY,1,CLX,CLX[?→OPEN],0,,clorox company,clorox,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,clorox company,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CMA,Comerica,1,CMA,CMA[?→OPEN],0,,comerica,comerica,0,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,comerica,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CMI,CUMMINS INC,1,CMI,CMI[?→OPEN],0,,cummins inc,cummins,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,cummins inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CNC,CENTENE CORP,1,CNC,CNC[?→OPEN],0,,centene corp,centene,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,centene corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
COP,CONOCOPHILLIPS,1,COP,COP[?→OPEN],0,,conocophillips,conocophillips,0,1,14,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,conocophillips,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
COR,CENCORA INC,1,COR,COR[?→OPEN],0,,cencora inc,cencora,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,cencora inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CPAY,CORPAY INC,1,CPAY,CPAY[?→OPEN],0,,corpay inc,corpay,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,corpay inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CPRT,COPART INC,1,CPRT,CPRT[?→OPEN],0,,copart inc,copart,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,copart inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CRH,CRH,1,CRH,CRH[?→OPEN],0,,crh,crh,0,1,3,1,0,1,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,crh,1,1,PIT company-name history not yet validated; exact legal/current name is ticker-like and requires issuer-name confirmation; structurally ambiguous/short base name
CRM,SALESFORCE INC,1,CRM,CRM[?→OPEN],0,,salesforce inc,salesforce,1,1,10,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,salesforce inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CRWD,CrowdStrike Holdings,1,CRWD,CRWD[?→OPEN],0,,crowdstrike holdings,crowdstrike,1,1,11,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,crowdstrike holdings,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CSX,CSX CORP,1,CSX,CSX[?→OPEN],0,,csx corp,csx,1,1,3,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,csx corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CTAS,CINTAS CORP,1,CTAS,CTAS[?→OPEN],0,,cintas corp,cintas,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,cintas corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CTLT,Catalent,1,CTLT,CTLT[?→OPEN],0,,catalent,catalent,0,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,catalent,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CTVA,CORTEVA INC,1,CTVA,CTVA[?→OPEN],0,,corteva inc,corteva,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,corteva inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CVNA,Carvana,1,CVNA,CVNA[?→OPEN],0,,carvana,carvana,0,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,carvana,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
CVX,CHEVRON CORP,1,CVX,CVX[?→OPEN],0,,chevron corp,chevron,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,chevron corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
DASH,DoorDash,1,DASH,DASH[?→OPEN],0,,doordash,doordash,0,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,doordash,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
DDOG,Datadog,1,DDOG,DDOG[?→OPEN],0,,datadog,datadog,0,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,datadog,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
DE,DEERE + CO,1,DE,DE[?→OPEN],0,,deere co,deere,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,deere co,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
DHR,DANAHER CORP,1,DHR,DHR[?→OPEN],0,,danaher corp,danaher,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,danaher corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
DOV,DOVER CORP,1,DOV,DOV[?→OPEN],0,,dover corp,dover,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,dover corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
DOW,DOW INC,1,DOW,DOW[?→OPEN],0,,dow inc,dow,1,1,3,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,dow inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
DVA,DAVITA INC,1,DVA,DVA[?→OPEN],0,,davita inc,davita,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,davita inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
DXCM,DEXCOM INC,1,DXCM,DXCM[?→OPEN],0,,dexcom inc,dexcom,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,dexcom inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
EBAY,EBAY INC,1,EBAY,EBAY[?→OPEN],0,,ebay inc,ebay,1,1,4,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,ebay inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ECL,ECOLAB INC,1,ECL,ECL[?→OPEN],0,,ecolab inc,ecolab,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,ecolab inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
EFX,EQUIFAX INC,1,EFX,EFX[?→OPEN],0,,equifax inc,equifax,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,equifax inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
EQIX,EQUINIX INC,1,EQIX,EQIX[?→OPEN],0,,equinix inc,equinix,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,equinix inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
EQT,EQT,1,EQT,EQT[?→OPEN],0,,eqt,eqt,0,1,3,1,0,1,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,eqt,1,1,PIT company-name history not yet validated; exact legal/current name is ticker-like and requires issuer-name confirmation; structurally ambiguous/short base name
ETN,EATON CORP PLC,1,ETN,ETN[?→OPEN],0,,eaton corp plc,eaton,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,eaton corp plc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ETR,ENTERGY CORP,1,ETR,ETR[?→OPEN],0,,entergy corp,entergy,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,entergy corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ETSY,Etsy,1,ETSY,ETSY[?→OPEN],0,,etsy,etsy,0,1,4,1,0,1,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,etsy,1,1,PIT company-name history not yet validated; exact legal/current name is ticker-like and requires issuer-name confirmation; structurally ambiguous/short base name
EVRG,EVERGY INC,1,EVRG,EVRG[?→OPEN],0,,evergy inc,evergy,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,evergy inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
EXC,EXELON CORP,1,EXC,EXC[?→OPEN],0,,exelon corp,exelon,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,exelon corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
FAST,FASTENAL CO,1,FAST,FAST[?→OPEN],0,,fastenal co,fastenal,1,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,fastenal co,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
FDX,FEDEX CORP,1,FDX,FDX[?→OPEN],0,,fedex corp,fedex,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,fedex corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
FE,FIRSTENERGY CORP,1,FE,FE[?→OPEN],0,,firstenergy corp,firstenergy,1,1,11,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,firstenergy corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
FFIV,F5 INC,1,FFIV,FFIV[?→OPEN],0,,f5 inc,f5,1,1,2,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,f5 inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
FISV,FISERV INC,1,FISV,FISV[?→OPEN],0,,fiserv inc,fiserv,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,fiserv inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
FLS,Flowserve,1,FLS,FLS[?→OPEN],0,,flowserve,flowserve,0,1,9,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,flowserve,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
FMC,FMC,1,FMC,FMC[?→OPEN],0,,fmc,fmc,0,1,3,1,0,1,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,fmc,1,1,PIT company-name history not yet validated; exact legal/current name is ticker-like and requires issuer-name confirmation; structurally ambiguous/short base name
FTI,TechnipFMC,1,FTI,FTI[?→OPEN],0,,technipfmc,technipfmc,0,1,10,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,technipfmc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
FTNT,FORTINET INC,1,FTNT,FTNT[?→OPEN],0,,fortinet inc,fortinet,1,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,fortinet inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
FTRE,Fortrea Holdings,1,FTRE,FTRE[?→OPEN],0,,fortrea holdings,fortrea,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,fortrea holdings,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
FTV,FORTIVE CORP,1,FTV,FTV[?→OPEN],0,,fortive corp,fortive,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,fortive corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
GDDY,GoDaddy,1,GDDY,GDDY[?→OPEN],0,,godaddy,godaddy,0,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,godaddy,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
GLW,CORNING INC,1,GLW,GLW[?→OPEN],0,,corning inc,corning,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,corning inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
GNRC,Generac Holdings,1,GNRC,GNRC[?→OPEN],0,,generac holdings,generac,1,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,generac holdings,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
GPS,Gap,1,GPS,GPS[?→OPEN],0,,gap,gap,0,1,3,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,gap,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
GRMN,GARMIN LTD,1,GRMN,GRMN[?→OPEN],0,,garmin ltd,garmin,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,garmin ltd,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
HAL,HALLIBURTON CO,1,HAL,HAL[?→OPEN],0,,halliburton co,halliburton,1,1,11,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,halliburton co,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
HAS,HASBRO INC,1,HAS,HAS[?→OPEN],0,,hasbro inc,hasbro,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,hasbro inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
HBI,Hanesbrands,1,HBI,HBI[?→OPEN],0,,hanesbrands,hanesbrands,0,1,11,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,hanesbrands,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
HES,Hess,1,HES,HES[?→OPEN],0,,hess,hess,0,1,4,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,hess,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
