security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,original_reconciliation_status,sec_current_name,sec_current_registry_core,nport_raw_names_pipe,nport_registry_cores_pipe,nport_registry_core_count,sec_nport_authoritative_agreement_flag,project_period_sec_former_name_rows,former_name_date_complete_flag,former_name_registry_cores_pipe,all_former_names_same_authoritative_core_flag,stage3f_status,stage3f_rationale,research_priority,required_source_standard,research_question,resolution_category,sample_authoritative_company_name,sample_authoritative_cik,predecessor_public_company_name,predecessor_public_cik,legal_effective_date,public_effective_date,post_sample_effective_date,excluded_name,excluded_name_reason,source_type,source_url,evidence_note,production_implication,stage3g_resolution_status,resolution_confidence
IVZ,IVZ,INVESCO LTD,0000914208,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Invesco Ltd.,INVESCO,Invesco Ltd,INVESCO,1,1,1,1,INVESCO ASSET MANAGEMENT DEUTSCHLAND GMBH,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,SEC_FORMER_NAME_METADATA_NOT_PUBLIC_PARENT,Invesco Ltd.,0000914208,,,,,,Invesco Asset Management Deutschland GmbH,SEC former-name metadata conflicts with contemporaneous 2020-2021 issuer filings identifying the public registrant as Invesco Ltd.; do not treat as parent-company attention alias.,SEC_10K_CONTEMPORANEOUS_IDENTITY_CHECK,https://www.sec.gov/Archives/edgar/data/914208/000091420821000331/ivz-20201231.htm|https://www.sec.gov/Archives/edgar/data/914208/000091420822000319/ivz-20211231.htm,"Invesco Ltd. is the exact registrant in filings before and after the SEC former-name metadata date, so the German asset-management name is not a substantive public-parent rename for H3.",EXCLUDE_INVESCO_ASSET_MANAGEMENT_DEUTSCHLAND; USE_INVESCO_LTD_THROUGHOUT_SAMPLE_MEMBERSHIP,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
J,J,JACOBS SOLUTIONS INC,0000052988,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,JACOBS SOLUTIONS INC.,JACOBS SOLUTIONS,Jacobs Solutions Inc,JACOBS SOLUTIONS,1,1,1,1,JACOBS ENGINEERING GROUP,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,TRUE_PUBLIC_HOLDING_COMPANY_NAME_TRANSITION,Jacobs Solutions Inc.,0000052988,Jacobs Engineering Group Inc.,0000052988,2022-08-29,2022-08-29,,,,SEC_8K12G3,https://www.sec.gov/Archives/edgar/data/52988/000119312522232264/d373758d8k12g3.htm,Jacobs Solutions became the successor public holding company to Jacobs Engineering Group on 2022-08-29; ticker J continued uninterrupted.,PIT_LEGAL_NAME_TRANSITION_REQUIRED; PUBLIC_JACOBS_BRAND_CONTINUITY_RETAINED_AS_CONTEXT,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
JBHT,JBHT,HUNT (JB) TRANSPRT SVCS INC,0000728535,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,HUNT J B TRANSPORT SERVICES INC,HUNT J B TRANSPORT SERVICES,JB Hunt Transport Services Inc,JB HUNT TRANSPORT SERVICES,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,SEC_CONFORMED_WORD_ORDER_VARIANT,"J.B. Hunt Transport Services, Inc.",0000728535,,,,,,HUNT J B TRANSPORT SERVICES INC|JB Hunt Transport Services Inc,SEC conformed-name ordering versus public/legal word order; not a company rename.,SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0000728535.json,SEC conformed-name ordering versus public/legal word order; not a company rename.,SINGLE_STABLE_PUBLIC_IDENTITY; USE_AUTHORITATIVE_PUBLIC_LEGAL_NAME; DO_NOT_CREATE_RENAME_INTERVAL,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
JKHY,JKHY,JACK HENRY + ASSOCIATES INC,0000779152,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,JACK HENRY & ASSOCIATES INC,JACK HENRY AND ASSOCIATES,Jack Henry & Associates Inc,JACK HENRY AND ASSOCIATES,1,1,1,1,HENRY JACK AND ASSOCIATES,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PREWINDOW_FORMER_NAME,"Jack Henry & Associates, Inc.",0000779152,,,,,,Henry Jack & Associates,SEC former-name event predates the 2021-2025 research window by decades.,SEC_SUBMISSIONS,https://data.sec.gov/submissions/CIK0000779152.json,Former-name metadata is pre-window and does not represent a 2021-2025 attention-name state.,USE_JACK_HENRY_AND_ASSOCIATES_THROUGHOUT_SAMPLE_MEMBERSHIP,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
KVUE,KVUE,Kenvue,0001944048,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Kenvue Inc.,KENVUE,Kenvue Inc,KENVUE,1,1,1,1,JNTL,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PREPUBLIC_TRANSACTION_NAME_NOT_ATTENTION_ALIAS,Kenvue Inc.,0001944048,,,2023-05-03,,,"JNTL, Inc.",Pre-public corporate formation name; Kenvue name was established before the company became publicly traded and before S&P 500 membership.,SEC_CERTIFICATE,https://www.sec.gov/Archives/edgar/data/1944048/000162828023016423/exhibit31-8xk.htm,The corporation was formed as JNTL in 2022; its amended and restated certificate dated 2023-05-03 establishes Kenvue Inc.,EXCLUDE_JNTL; USE_KENVUE_WHEN_MEMBERSHIP_ACTIVE,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
LH,LH,LABCORP HOLDINGS INC,0000920148,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,LABCORP HOLDINGS INC.,LABCORP HOLDINGS,Labcorp Holdings Inc,LABCORP HOLDINGS,1,1,1,1,LABORATORY CORP OF AMERICA HOLDINGS,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,TRUE_PUBLIC_HOLDING_COMPANY_NAME_TRANSITION,Labcorp Holdings Inc.,0000920148,Laboratory Corporation of America Holdings,0000920148,2024-05-17,2024-05-17,,,,SEC_8K,https://www.sec.gov/Archives/edgar/data/920148/000092014824000063/lh-20240517.htm,Labcorp Holdings became successor issuer to Laboratory Corporation of America Holdings on 2024-05-17; ticker LH continued.,PIT_LEGAL_NAME_TRANSITION_REQUIRED; PUBLIC_LABCORP_BRAND_CONTINUITY_RETAINED_AS_CONTEXT,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
LYB,LYB,LYONDELLBASELL INDU CL A,0001489393,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,LyondellBasell Industries N.V.,LYONDELLBASELL INDUSTRIES N V,LyondellBasell Industries NV,LYONDELLBASELL INDUSTRIES,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,LEGAL_FORM_PUNCTUATION_VARIANT,LyondellBasell Industries N.V.,0001489393,,,,,,LyondellBasell Industries N.V.|LyondellBasell Industries NV,N.V. punctuation/legal-form presentation only.,SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0001489393.json,N.V. punctuation/legal-form presentation only.,SINGLE_STABLE_PUBLIC_IDENTITY; USE_AUTHORITATIVE_PUBLIC_LEGAL_NAME; DO_NOT_CREATE_RENAME_INTERVAL,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
MAR,MAR,MARRIOTT INTERNATIONAL  CL A,0001048286,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,MARRIOTT INTERNATIONAL INC /MD/,MARRIOTT INTERNATIONAL,Marriott International Inc/MD,MARRIOTT INTERNATIONAL INC MD,1,0,1,1,MARRIOTT INTERNATIONAL,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,JURISDICTION_OR_SOURCE_LABEL_VARIANT,"Marriott International, Inc.",0001048286,,,,,,Marriott International Inc/MD,"Jurisdiction/source formatting, not a substantive company-name state.",SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0001048286.json,Marriott International remains the public issuer; /MD/ is a source presentation qualifier.,SINGLE_STABLE_PUBLIC_IDENTITY; STRIP_JURISDICTION_PRESENTATION_ONLY,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
MKC,MKC,MCCORMICK + CO NON VTG SHRS,0000063754,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,MCCORMICK & CO INC,MCCORMICK AND,McCormick & Co Inc/MD,MCCORMICK AND CO INC MD,1,0,1,1,MCCORMICK AND,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PREWINDOW_FORMER_NAME_AND_SOURCE_LABEL_VARIANT,"McCormick & Company, Incorporated",0000063754,,,,,,McCormick & Co,SEC former-name record dates to 1966; NPORT/EDGAR abbreviation is source presentation rather than a 2021-2025 name change.,SEC_10K_AND_EDGAR_HEADER,https://www.sec.gov/Archives/edgar/data/63754/000006375426000037/mkc-20251130.htm|https://www.sec.gov/Archives/edgar/data/63754/000006375420000022/0000063754-20-000022-index-headers.html,"2025 10-K gives exact legal registrant McCormick & Company, Incorporated; SEC header former name McCormick & Co is dated 1966-06-20.",USE_MCCORMICK_AND_COMPANY_THROUGHOUT_SAMPLE_MEMBERSHIP; DO_NOT_CREATE_PROJECT_PERIOD_RENAME,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
MRSH,MRSH,MARSH + MCLENNAN COS,0000062709,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"MARSH & MCLENNAN COMPANIES, INC.",MARSH AND MCLENNAN COMPANIES,Marsh & McLennan Cos Inc,MARSH AND MCLENNAN COS,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,POST_SAMPLE_BRAND_TICKER_CHANGE_NOT_PIT,"Marsh & McLennan Companies, Inc.",0000062709,,,,,2026-01-14,Marsh / ticker MRSH,Brand/ticker change took effect after the 2021-2025 H3 sample; legal name remained unchanged.,OFFICIAL_COMPANY_ANNOUNCEMENT_PLUS_SEC_IDENTITY,https://www.corporate.marsh.com/news-events/2025/december/marsh-mclennan-to-change-nyse-symbol-to-mrsh.html|https://data.sec.gov/submissions/CIK0000062709.json,"Company announced ticker MMC -> MRSH and brand Marsh effective 2026-01-14, explicitly stating its legal name and CUSIP remain unchanged.",FOR_2021_2025_USE_PRE_2026_MARSH_MCLENNAN_IDENTITY; DO_NOT_BACKCAST_2026_MARSH_OR_MRSH,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
