security_key,latest_project_ticker,canonical_company_name,structural_ambiguity_tier,stage3b2_original_status,stage3b2_original_review_flag,stage3b2_nport_unique_name_count,stage3b2_nport_raw_names_pipe,stage3b2_candidate_sec_cik,later_resolution_evidence_layers_pipe,final_name_resolution_status,final_name_resolution_layer,original_review_reason,original_review_priority,closure_research_priority,closure_research_question
DISH,DISH,DISH Network,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
DRE,DRE,Duke Realty,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
DXC,DXC,DXC Technologies,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001688568,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
EMN,EMN,Eastman Chemical Co,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000915389,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
ENPH,ENPH,Enphase Energy,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001463101,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
EPAM,EPAM,EPAM Systems,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001352010,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
ETSY,ETSY,Etsy,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001370637,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
FBHS,FBHS,Fortune Brands Home & Security,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
FLIR,FLIR,FLIR Systems,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
FLS,FLS,Flowserve,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000030625,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
FMC,FMC,FMC,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000037785,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
FRC,FRC,First Republic Bank,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001132979,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
FTI,FTI,TechnipFMC,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001681459,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
FTRE,FTRE,Fortrea Holdings,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001965040,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
GPS,GPS,Gap,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
HBI,HBI,Hanesbrands,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
HES,HES,Hess,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
HFC,HFC,HollyFrontier,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
ILMN,ILMN,Illumina,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001110803,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
INFO,INFO,IHS Markit,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
IPG,IPG,Interpublic Group,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
IPGP,IPGP,IPG Photonics,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001111928,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
JNPR,JNPR,Juniper Networks,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
K,K,Kellanova,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000055067,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
KMX,KMX,CarMax,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001170010,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
KSU,KSU,Kansas City Southern,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000054480,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
LEG,LEG,Leggett & Platt,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000058492,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
LKQ,LKQ,LKQ,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001065696,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
LNC,LNC,Lincoln National,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000059558,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
LUMN,LUMN,Lumen Technologies,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000018926,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
MBC,MBC,MasterBrand,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001941365,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
MHK,MHK,Mohawk Industries,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000851968,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
MKTX,MKTX,MarketAxess Holdings,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001278021,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
MOH,MOH,Molina Healthcare,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001179929,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
MRO,MRO,Marathon Oil,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
MTCH,MTCH,Match Group,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000891103,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
MXIM,MXIM,Maxim Integrated Products,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
NLSN,NLSN,Nielsen Holdings,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
NOV,NOV,NOV,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001021860,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
NWL,NWL,Newell Brands,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000814453,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
OGN,OGN,Organon,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001821825,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
PBCT,PBCT,People's United Financial,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
PENN,PENN,Penn National Gaming,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000921738,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
PHIN,PHIN,PHINIA,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001968915,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
