security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,project_name_exact,project_name_legal_core,sec_current_name,sec_current_name_exact,sec_current_name_legal_core,nport_raw_names_pipe,nport_exact_names_pipe,nport_legal_cores_pipe,nport_legal_core_count,true_transition_count,false_transition_count,all_nport_states_explained_by_transition_flag,project_period_sec_former_name_count,reconciliation_status,reconciliation_rationale,research_priority,required_source_standard,research_question
CAH,CAH,CARDINAL HEALTH INC,0000721371,CARDINAL HEALTH INC,CARDINAL HEALTH,CARDINAL HEALTH INC,CARDINAL HEALTH INC,CARDINAL HEALTH,Cardinal Health Inc,CARDINAL HEALTH INC,CARDINAL HEALTH,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CCL,CCL,CARNIVAL CORP LTD,0000815097,CARNIVAL CORP LTD,CARNIVAL,Carnival Corp Ltd.,CARNIVAL CORP LTD,CARNIVAL,Carnival Corp,CARNIVAL CORP,CARNIVAL,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CEG,CEG,Constellation Energy,0001868275,CONSTELLATION ENERGY,CONSTELLATION ENERGY,Constellation Energy Corp,CONSTELLATION ENERGY CORP,CONSTELLATION ENERGY,Constellation Energy Corp,CONSTELLATION ENERGY CORP,CONSTELLATION ENERGY,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CL,CL,COLGATE PALMOLIVE CO,0000021665,COLGATE PALMOLIVE CO,COLGATE PALMOLIVE,COLGATE PALMOLIVE CO,COLGATE PALMOLIVE CO,COLGATE PALMOLIVE,Colgate-Palmolive Co,COLGATE PALMOLIVE CO,COLGATE PALMOLIVE,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CLX,CLX,CLOROX COMPANY,0000021076,CLOROX COMPANY,CLOROX,CLOROX CO /DE/,CLOROX CO DE,CLOROX CO DE,Clorox Co/The,CLOROX CO THE,CLOROX CO THE,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CNP,CNP,CENTERPOINT ENERGY INC,0001130310,CENTERPOINT ENERGY INC,CENTERPOINT ENERGY,CENTERPOINT ENERGY INC,CENTERPOINT ENERGY INC,CENTERPOINT ENERGY,CenterPoint Energy Inc,CENTERPOINT ENERGY INC,CENTERPOINT ENERGY,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CSGP,CSGP,CoStar Group,0001057352,COSTAR GROUP,COSTAR GROUP,"COSTAR GROUP, INC.",COSTAR GROUP INC,COSTAR GROUP,CoStar Group Inc,COSTAR GROUP INC,COSTAR GROUP,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
DASH,DASH,DoorDash,0001792789,DOORDASH,DOORDASH,"DoorDash, Inc.",DOORDASH INC,DOORDASH,DoorDash Inc,DOORDASH INC,DOORDASH,1,0,0,0,2,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
EFX,EFX,EQUIFAX INC,0000033185,EQUIFAX INC,EQUIFAX,EQUIFAX INC,EQUIFAX INC,EQUIFAX,Equifax Inc,EQUIFAX INC,EQUIFAX,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
EXE,EXE,Expand Energy,0000895126,EXPAND ENERGY,EXPAND ENERGY,EXPAND ENERGY Corp,EXPAND ENERGY CORP,EXPAND ENERGY,Expand Energy Corp,EXPAND ENERGY CORP,EXPAND ENERGY,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
FANG,FANG,DIAMONDBACK ENERGY INC,0001539838,DIAMONDBACK ENERGY INC,DIAMONDBACK ENERGY,"Diamondback Energy, Inc.",DIAMONDBACK ENERGY INC,DIAMONDBACK ENERGY,Diamondback Energy Inc,DIAMONDBACK ENERGY INC,DIAMONDBACK ENERGY,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
FIX,FIX,Comfort Systems USA,0001035983,COMFORT SYSTEMS USA,COMFORT SYSTEMS USA,COMFORT SYSTEMS USA INC,COMFORT SYSTEMS USA INC,COMFORT SYSTEMS USA,Comfort Systems USA Inc,COMFORT SYSTEMS USA INC,COMFORT SYSTEMS USA,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
GEHC,GEHC,GE HealthCare Technologies,0001932393,GE HEALTHCARE TECHNOLOGIES,GE HEALTHCARE TECHNOLOGIES,GE HealthCare Technologies Inc.,GE HEALTHCARE TECHNOLOGIES INC,GE HEALTHCARE TECHNOLOGIES,GE HealthCare Technologies Inc,GE HEALTHCARE TECHNOLOGIES INC,GE HEALTHCARE TECHNOLOGIES,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
GEV,GEV,GE Vernova,0001996810,GE VERNOVA,GE VERNOVA,GE Vernova Inc.,GE VERNOVA INC,GE VERNOVA,GE Vernova Inc,GE VERNOVA INC,GE VERNOVA,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
GILD,GILD,GILEAD SCIENCES INC,0000882095,GILEAD SCIENCES INC,GILEAD SCIENCES,"GILEAD SCIENCES, INC.",GILEAD SCIENCES INC,GILEAD SCIENCES,Gilead Sciences Inc,GILEAD SCIENCES INC,GILEAD SCIENCES,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
HBAN,HBAN,HUNTINGTON BANCSHARES INC,0000049196,HUNTINGTON BANCSHARES INC,HUNTINGTON BANCSHARES,HUNTINGTON BANCSHARES INC /MD/,HUNTINGTON BANCSHARES INC MD,HUNTINGTON BANCSHARES INC MD,Huntington Bancshares Inc/OH,HUNTINGTON BANCSHARES INC OH,HUNTINGTON BANCSHARES INC OH,1,0,0,0,2,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
HII,HII,HUNTINGTON INGALLS INDUSTRIE,0001501585,HUNTINGTON INGALLS INDUSTRIE,HUNTINGTON INGALLS INDUSTRIE,"HUNTINGTON INGALLS INDUSTRIES, INC.",HUNTINGTON INGALLS INDUSTRIES INC,HUNTINGTON INGALLS INDUSTRIES,Huntington Ingalls Industries Inc,HUNTINGTON INGALLS INDUSTRIES INC,HUNTINGTON INGALLS INDUSTRIES,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
INTU,INTU,INTUIT INC,0000896878,INTUIT INC,INTUIT,INTUIT INC.,INTUIT INC,INTUIT,Intuit Inc,INTUIT INC,INTUIT,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
IVZ,IVZ,INVESCO LTD,0000914208,INVESCO LTD,INVESCO,Invesco Ltd.,INVESCO LTD,INVESCO,Invesco Ltd,INVESCO LTD,INVESCO,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
J,J,JACOBS SOLUTIONS INC,0000052988,JACOBS SOLUTIONS INC,JACOBS SOLUTIONS,JACOBS SOLUTIONS INC.,JACOBS SOLUTIONS INC,JACOBS SOLUTIONS,Jacobs Solutions Inc,JACOBS SOLUTIONS INC,JACOBS SOLUTIONS,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
JKHY,JKHY,JACK HENRY + ASSOCIATES INC,0000779152,JACK HENRY ASSOCIATES INC,JACK HENRY ASSOCIATES,JACK HENRY & ASSOCIATES INC,JACK HENRY AND ASSOCIATES INC,JACK HENRY AND ASSOCIATES,Jack Henry & Associates Inc,JACK HENRY AND ASSOCIATES INC,JACK HENRY AND ASSOCIATES,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
JPM,JPM,JPMORGAN CHASE + CO,0000019617,JPMORGAN CHASE CO,JPMORGAN CHASE,JPMORGAN CHASE & CO,JPMORGAN CHASE AND CO,JPMORGAN CHASE AND,JPMorgan Chase & Co,JPMORGAN CHASE AND CO,JPMORGAN CHASE AND,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
KVUE,KVUE,Kenvue,0001944048,KENVUE,KENVUE,Kenvue Inc.,KENVUE INC,KENVUE,Kenvue Inc,KENVUE INC,KENVUE,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
LH,LH,LABCORP HOLDINGS INC,0000920148,LABCORP HOLDINGS INC,LABCORP HOLDINGS,LABCORP HOLDINGS INC.,LABCORP HOLDINGS INC,LABCORP HOLDINGS,Labcorp Holdings Inc,LABCORP HOLDINGS INC,LABCORP HOLDINGS,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
LMT,LMT,LOCKHEED MARTIN CORP,0000936468,LOCKHEED MARTIN CORP,LOCKHEED MARTIN,LOCKHEED MARTIN CORP,LOCKHEED MARTIN CORP,LOCKHEED MARTIN,Lockheed Martin Corp,LOCKHEED MARTIN CORP,LOCKHEED MARTIN,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
LNT,LNT,ALLIANT ENERGY CORP,0000352541,ALLIANT ENERGY CORP,ALLIANT ENERGY,ALLIANT ENERGY CORP,ALLIANT ENERGY CORP,ALLIANT ENERGY,Alliant Energy Corp,ALLIANT ENERGY CORP,ALLIANT ENERGY,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
MAR,MAR,MARRIOTT INTERNATIONAL  CL A,0001048286,MARRIOTT INTERNATIONAL CL A,MARRIOTT INTERNATIONAL,MARRIOTT INTERNATIONAL INC /MD/,MARRIOTT INTERNATIONAL INC MD,MARRIOTT INTERNATIONAL INC MD,Marriott International Inc/MD,MARRIOTT INTERNATIONAL INC MD,MARRIOTT INTERNATIONAL INC MD,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
MKC,MKC,MCCORMICK + CO NON VTG SHRS,0000063754,MCCORMICK CO NON VTG SHRS,MCCORMICK CO NON VTG SHRS,MCCORMICK & CO INC,MCCORMICK AND CO INC,MCCORMICK AND,McCormick & Co Inc/MD,MCCORMICK AND CO INC MD,MCCORMICK AND CO INC MD,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
