security_key,alias_interval_count,unique_production_alias_count,first_alias_date,last_alias_end_exclusive,ambiguity_tier,bare_ticker_alias_rows
CTLT,1,1,2021-01-01,2024-12-23,HIGH,0
CTRA,2,2,2021-01-01,2026-01-01,MEDIUM,0
CTSH,1,1,2021-01-01,2026-01-01,LOW,0
CTVA,1,1,2021-01-01,2026-01-01,HIGH,0
CTXS,1,1,2021-01-01,2022-10-03,MEDIUM,0
CVNA,1,1,2025-12-22,2026-01-01,HIGH,0
CVS,1,1,2021-01-01,2026-01-01,MEDIUM,0
CVX,1,1,2021-01-01,2026-01-01,HIGH,0
CXO,1,1,2021-01-01,2021-01-21,MEDIUM,0
CZR,1,1,2021-03-22,2025-09-22,MEDIUM,0
D,1,1,2021-01-01,2026-01-01,MEDIUM,0
DAL,1,1,2021-01-01,2026-01-01,LOW,0
DASH,1,1,2025-03-24,2026-01-01,HIGH,0
DAY,2,2,2021-09-20,2026-01-01,MEDIUM,0
DD,1,1,2021-01-01,2026-01-01,LOW,0
DDOG,1,1,2025-07-09,2026-01-01,HIGH,0
DE,1,1,2021-01-01,2026-01-01,HIGH,0
DECK,1,1,2024-03-18,2026-01-01,MEDIUM,0
DELL,1,1,2024-09-23,2026-01-01,MEDIUM,0
DFS,1,1,2021-01-01,2025-05-19,LOW,0
DG,1,1,2021-01-01,2026-01-01,MEDIUM,0
DGX,1,1,2021-01-01,2026-01-01,MEDIUM,0
DHI,1,1,2021-01-01,2026-01-01,MEDIUM,0
DHR,1,1,2021-01-01,2026-01-01,HIGH,0
DIS,1,1,2021-01-01,2026-01-01,LOW,0
DISCA,1,1,2021-01-01,2022-04-11,LOW,0
DISCK,1,1,2021-01-01,2022-04-11,LOW,0
DISH,1,1,2021-01-01,2023-06-20,MEDIUM,0
DLR,1,1,2021-01-01,2026-01-01,LOW,0
DLTR,1,1,2021-01-01,2026-01-01,MEDIUM,0
DOC,1,1,2021-01-01,2026-01-01,MEDIUM,0
DOV,1,1,2021-01-01,2026-01-01,HIGH,0
DOW,1,1,2021-01-01,2026-01-01,HIGH,0
DPZ,1,1,2021-01-01,2026-01-01,LOW,0
DRE,1,1,2021-01-01,2022-10-03,MEDIUM,0
DRI,1,1,2021-01-01,2026-01-01,MEDIUM,0
DTE,1,1,2021-01-01,2026-01-01,MEDIUM,0
DUK,1,1,2021-01-01,2026-01-01,MEDIUM,0
DVA,1,1,2021-01-01,2026-01-01,HIGH,0
DVN,1,1,2021-01-01,2026-01-01,MEDIUM,0
DXC,1,1,2021-01-01,2023-10-03,MEDIUM,0
DXCM,1,1,2021-01-01,2026-01-01,HIGH,0
EA,1,1,2021-01-01,2026-01-01,MEDIUM,0
EBAY,1,1,2021-01-01,2026-01-01,HIGH,0
ECL,1,1,2021-01-01,2026-01-01,HIGH,0
ED,1,1,2021-01-01,2026-01-01,MEDIUM,0
EFX,1,1,2021-01-01,2026-01-01,HIGH,0
EG,2,2,2021-01-01,2026-01-01,MEDIUM,0
EIX,1,1,2021-01-01,2026-01-01,MEDIUM,0
EL,1,1,2021-01-01,2026-01-01,LOW,0
ELV,2,2,2021-01-01,2026-01-01,MEDIUM,0
EME,1,1,2025-09-22,2026-01-01,MEDIUM,0
EMN,1,1,2021-01-01,2025-11-04,MEDIUM,0
EMR,1,1,2021-01-01,2026-01-01,MEDIUM,0
ENPH,1,1,2021-01-07,2025-09-22,MEDIUM,0
EOG,1,1,2021-01-01,2026-01-01,MEDIUM,0
EPAM,1,1,2021-12-14,2026-01-01,MEDIUM,0
EQIX,1,1,2021-01-01,2026-01-01,HIGH,0
EQR,1,1,2021-01-01,2026-01-01,MEDIUM,0
EQT,1,1,2022-10-03,2026-01-01,HIGH,0
ERIE,1,1,2024-09-23,2026-01-01,MEDIUM,0
ES,1,1,2021-01-01,2026-01-01,MEDIUM,0
ESS,1,1,2021-01-01,2026-01-01,LOW,0
ETN,1,1,2021-01-01,2026-01-01,HIGH,0
ETR,1,1,2021-01-01,2026-01-01,HIGH,0
ETSY,1,1,2021-01-01,2024-09-23,HIGH,0
EVRG,1,1,2021-01-01,2026-01-01,HIGH,0
EW,1,1,2021-01-01,2026-01-01,MEDIUM,0
EXC,1,1,2021-01-01,2026-01-01,HIGH,0
EXE,1,1,2025-03-24,2026-01-01,MEDIUM,0
EXPD,1,1,2021-01-01,2026-01-01,LOW,0
EXPE,1,1,2021-01-01,2026-01-01,MEDIUM,0
EXR,1,1,2021-01-01,2026-01-01,LOW,0
F,1,1,2021-01-01,2026-01-01,MEDIUM,0
FANG,1,1,2021-01-01,2026-01-01,MEDIUM,0
FAST,1,1,2021-01-01,2026-01-01,HIGH,0
FBHS,2,2,2021-01-01,2022-12-19,LOW,0
FCX,1,1,2021-01-01,2026-01-01,MEDIUM,0
FDS,1,1,2021-12-20,2026-01-01,LOW,0
FDX,1,1,2021-01-01,2026-01-01,HIGH,0
FE,1,1,2021-01-01,2026-01-01,HIGH,0
FFIV,2,2,2021-01-01,2026-01-01,HIGH,0
FICO,1,1,2023-03-20,2026-01-01,LOW,0
FIS,1,1,2021-01-01,2026-01-01,LOW,0
FISV,1,1,2021-01-01,2026-01-01,HIGH,0
FITB,1,1,2021-01-01,2026-01-01,LOW,0
FIX,1,1,2025-12-22,2026-01-01,LOW,0
FLIR,1,1,2021-01-01,2021-05-14,MEDIUM,0
FLS,1,1,2021-01-01,2021-03-22,HIGH,0
FMC,1,1,2021-01-01,2025-03-24,HIGH,0
FOX,1,1,2021-01-01,2026-01-01,LOW,0
FOXA,1,1,2021-01-01,2026-01-01,LOW,0
FRC,1,1,2021-01-01,2023-05-04,LOW,0
FRT,1,1,2021-01-01,2026-01-01,LOW,0
FSLR,1,1,2022-12-19,2026-01-01,MEDIUM,0
FTI,1,1,2021-01-01,2021-02-12,HIGH,0
FTNT,1,1,2021-01-01,2026-01-01,HIGH,0
FTRE,1,1,2023-07-03,2023-07-06,HIGH,0
FTV,1,1,2021-01-01,2026-01-01,HIGH,0
GD,1,1,2021-01-01,2026-01-01,MEDIUM,0
GDDY,1,1,2024-06-24,2026-01-01,HIGH,0
GE,1,1,2021-01-01,2026-01-01,MEDIUM,0
GEHC,1,1,2023-01-04,2026-01-01,LOW,0
GEN,2,2,2021-01-01,2026-01-01,MEDIUM,0
GEV,1,1,2024-04-02,2026-01-01,MEDIUM,0
GILD,1,1,2021-01-01,2026-01-01,MEDIUM,0
GIS,1,1,2021-01-01,2026-01-01,MEDIUM,0
GL,1,1,2021-01-01,2026-01-01,MEDIUM,0
GLW,1,1,2021-01-01,2026-01-01,HIGH,0
GM,1,1,2021-01-01,2026-01-01,MEDIUM,0
GNRC,1,1,2021-03-22,2026-01-01,HIGH,0
GOOG,1,1,2021-01-01,2026-01-01,LOW,0
GOOGL,1,1,2021-01-01,2026-01-01,LOW,0
GPC,1,1,2021-01-01,2026-01-01,MEDIUM,0
GPN,1,1,2021-01-01,2026-01-01,MEDIUM,0
GPS,1,1,2021-01-01,2022-02-03,HIGH,0
GRMN,1,1,2021-01-01,2026-01-01,HIGH,0
GS,1,1,2021-01-01,2026-01-01,LOW,0
GWW,1,1,2021-01-01,2026-01-01,MEDIUM,0
HAL,1,1,2021-01-01,2026-01-01,HIGH,0
HAS,1,1,2021-01-01,2026-01-01,HIGH,0
HBAN,1,1,2021-01-01,2026-01-01,MEDIUM,0
HBI,1,1,2021-01-01,2021-12-20,HIGH,0
HCA,1,1,2021-01-01,2026-01-01,MEDIUM,0
HD,1,1,2021-01-01,2026-01-01,MEDIUM,0
HES,1,1,2021-01-01,2025-07-23,HIGH,0
HFC,1,1,2021-01-01,2021-06-04,HIGH,0
HIG,2,2,2021-01-01,2026-01-01,LOW,0
HII,1,1,2021-01-01,2026-01-01,LOW,0
HLT,1,1,2021-01-01,2026-01-01,LOW,0
HOLX,1,1,2021-01-01,2026-01-01,HIGH,0
HON,1,1,2021-01-01,2026-01-01,MEDIUM,0
HOOD,1,1,2025-09-22,2026-01-01,MEDIUM,0
HPE,1,1,2021-01-01,2026-01-01,LOW,0
HPQ,1,1,2021-01-01,2026-01-01,HIGH,0
HRL,1,1,2021-01-01,2026-01-01,MEDIUM,0
HSIC,1,1,2021-01-01,2026-01-01,MEDIUM,0
HST,1,1,2021-01-01,2026-01-01,LOW,0
HSY,1,1,2021-01-01,2026-01-01,LOW,0
HUBB,1,1,2023-10-18,2026-01-01,HIGH,0
HUM,1,1,2021-01-01,2026-01-01,HIGH,0
HWM,1,1,2021-01-01,2026-01-01,MEDIUM,0
IBKR,1,1,2025-08-28,2026-01-01,LOW,0
IBM,1,1,2021-01-01,2026-01-01,LOW,0
ICE,1,1,2021-01-01,2026-01-01,LOW,0
IDXX,1,1,2021-01-01,2026-01-01,MEDIUM,0
IEX,1,1,2021-01-01,2026-01-01,HIGH,0
IFF,1,1,2021-01-01,2026-01-01,LOW,0
ILMN,1,1,2021-01-01,2024-06-24,HIGH,0
INCY,1,1,2021-01-01,2026-01-01,HIGH,0
INFO,1,1,2021-01-01,2022-03-02,MEDIUM,0
INTC,1,1,2021-01-01,2026-01-01,HIGH,0
INTU,1,1,2021-01-01,2026-01-01,HIGH,0
INVH,1,1,2022-09-19,2026-01-01,MEDIUM,0
IP,1,1,2021-01-01,2026-01-01,MEDIUM,0
IPG,1,1,2021-01-01,2025-11-28,MEDIUM,0
IPGP,1,1,2021-01-01,2022-06-21,MEDIUM,0
IQV,1,1,2021-01-01,2026-01-01,HIGH,0
IR,1,1,2021-01-01,2026-01-01,MEDIUM,0
IRM,1,1,2021-01-01,2026-01-01,MEDIUM,0
ISRG,1,1,2021-01-01,2026-01-01,MEDIUM,0
IT,1,1,2021-01-01,2026-01-01,HIGH,0
ITW,1,1,2021-01-01,2026-01-01,LOW,0
IVZ,1,1,2021-01-01,2026-01-01,HIGH,0
J,2,2,2021-01-01,2026-01-01,MEDIUM,0
JBHT,1,1,2021-01-01,2026-01-01,LOW,0
JBL,1,1,2023-12-18,2026-01-01,HIGH,0
JCI,1,1,2021-01-01,2026-01-01,LOW,0
JKHY,1,1,2021-01-01,2026-01-01,LOW,0
JNJ,1,1,2021-01-01,2026-01-01,MEDIUM,0
JNPR,1,1,2021-01-01,2025-07-09,MEDIUM,0
JPM,1,1,2021-01-01,2026-01-01,MEDIUM,0
K,2,2,2021-01-01,2025-12-11,HIGH,0
KDP,1,1,2022-06-21,2026-01-01,LOW,0
KEY,1,1,2021-01-01,2026-01-01,HIGH,0
KEYS,1,1,2021-01-01,2026-01-01,LOW,0
KHC,1,1,2021-01-01,2026-01-01,LOW,0
KIM,1,1,2021-01-01,2026-01-01,MEDIUM,0
KKR,1,1,2024-06-24,2026-01-01,HIGH,0
KLAC,1,1,2021-01-01,2026-01-01,HIGH,0
KMB,1,1,2021-01-01,2026-01-01,MEDIUM,0
KMI,1,1,2021-01-01,2026-01-01,MEDIUM,0
KMX,1,1,2021-01-01,2025-10-31,HIGH,0
KO,1,1,2021-01-01,2026-01-01,LOW,0
KR,1,1,2021-01-01,2026-01-01,HIGH,0
KSU,1,1,2021-01-01,2021-12-14,LOW,0
KVUE,1,1,2023-08-25,2026-01-01,HIGH,0
L,1,1,2021-01-01,2026-01-01,HIGH,0
LDOS,1,1,2021-01-01,2026-01-01,HIGH,0
LEG,1,1,2021-01-01,2021-12-20,LOW,0
LEN,1,1,2021-01-01,2026-01-01,LOW,0
LH,2,2,2021-01-01,2026-01-01,HIGH,0
LHX,1,1,2021-01-01,2026-01-01,MEDIUM,0
LII,1,1,2024-12-23,2026-01-01,MEDIUM,0
LIN,1,1,2021-01-01,2026-01-01,HIGH,0
LKQ,1,1,2021-01-01,2025-12-22,HIGH,0
LLY,1,1,2021-01-01,2026-01-01,MEDIUM,0
LMT,1,1,2021-01-01,2026-01-01,MEDIUM,0
LNC,1,1,2021-01-01,2023-09-18,MEDIUM,0
LNT,1,1,2021-01-01,2026-01-01,MEDIUM,0
LOW,1,1,2021-01-01,2026-01-01,LOW,0
LRCX,1,1,2021-01-01,2026-01-01,MEDIUM,0
LULU,1,1,2023-10-18,2026-01-01,MEDIUM,0
LUMN,1,1,2021-01-01,2023-03-20,MEDIUM,0
LUV,1,1,2021-01-01,2026-01-01,MEDIUM,0
LVS,1,1,2021-01-01,2026-01-01,LOW,0
LW,1,1,2021-01-01,2026-01-01,MEDIUM,0
LYB,1,1,2021-01-01,2026-01-01,LOW,0
LYV,1,1,2021-01-01,2026-01-01,LOW,0
MA,1,1,2021-01-01,2026-01-01,LOW,0
MAA,1,1,2021-01-01,2026-01-01,LOW,0
MAR,1,1,2021-01-01,2026-01-01,LOW,0
MAS,1,1,2021-01-01,2026-01-01,HIGH,0
MBC,1,1,2022-12-15,2022-12-19,HIGH,0
MCD,1,1,2021-01-01,2026-01-01,MEDIUM,0
MCHP,1,1,2021-01-01,2026-01-01,MEDIUM,0
MCK,1,1,2021-01-01,2026-01-01,HIGH,0
MCO,1,1,2021-01-01,2026-01-01,HIGH,0
MDLZ,1,1,2021-01-01,2026-01-01,LOW,0
MDT,1,1,2021-01-01,2026-01-01,HIGH,0
MET,1,1,2021-01-01,2026-01-01,HIGH,0
META,2,2,2021-01-01,2026-01-01,LOW,0
MGM,1,1,2021-01-01,2026-01-01,LOW,0
MHK,1,1,2021-01-01,2025-12-22,MEDIUM,0
MKC,1,1,2021-01-01,2026-01-01,LOW,0
MKTX,1,1,2021-01-01,2025-09-22,HIGH,0
MLM,1,1,2021-01-01,2026-01-01,LOW,0
MMM,1,1,2021-01-01,2026-01-01,HIGH,0
MNST,1,1,2021-01-01,2026-01-01,MEDIUM,0
MO,1,1,2021-01-01,2026-01-01,MEDIUM,0
MOH,1,1,2022-03-02,2026-01-01,MEDIUM,0
MOS,1,1,2021-01-01,2026-01-01,LOW,0
MPC,1,1,2021-01-01,2026-01-01,MEDIUM,0
MPWR,1,1,2021-02-12,2026-01-01,LOW,0
MRK,1,1,2021-01-01,2026-01-01,HIGH,0
MRNA,1,1,2021-07-21,2026-01-01,HIGH,0
MRO,1,1,2021-01-01,2024-11-26,MEDIUM,0
MRSH,1,1,2021-01-01,2026-01-01,LOW,0
MS,1,1,2021-01-01,2026-01-01,MEDIUM,0
MSCI,1,1,2021-01-01,2026-01-01,HIGH,0
MSFT,1,1,2021-01-01,2026-01-01,HIGH,0
MSI,1,1,2021-01-01,2026-01-01,MEDIUM,0
MTB,1,1,2021-01-01,2026-01-01,HIGH,0
MTCH,1,1,2021-09-20,2026-01-01,MEDIUM,0
MTD,1,1,2021-01-01,2026-01-01,LOW,0
MU,1,1,2021-01-01,2026-01-01,MEDIUM,0
MXIM,1,1,2021-01-01,2021-08-30,LOW,0
NCLH,1,1,2021-01-01,2026-01-01,LOW,0
NDAQ,1,1,2021-01-01,2026-01-01,HIGH,0
NDSN,1,1,2022-02-15,2026-01-01,HIGH,0
NEE,1,1,2021-01-01,2026-01-01,MEDIUM,0
NEM,1,1,2021-01-01,2026-01-01,HIGH,0
NFLX,1,1,2021-01-01,2026-01-01,HIGH,0
NI,1,1,2021-01-01,2026-01-01,HIGH,0
NKE,1,1,2021-01-01,2026-01-01,LOW,0
NLSN,1,1,2021-01-01,2022-10-12,HIGH,0
NOC,1,1,2021-01-01,2026-01-01,MEDIUM,0
NOV,1,1,2021-01-01,2021-09-20,HIGH,0
NOW,1,1,2021-01-01,2026-01-01,HIGH,0
NRG,1,1,2021-01-01,2026-01-01,MEDIUM,0
NSC,1,1,2021-01-01,2026-01-01,MEDIUM,0
NTAP,1,1,2021-01-01,2026-01-01,HIGH,0
NTRS,1,1,2021-01-01,2026-01-01,MEDIUM,0
NUE,1,1,2021-01-01,2026-01-01,HIGH,0
NVDA,1,1,2021-01-01,2026-01-01,HIGH,0
NVR,1,1,2021-01-01,2026-01-01,HIGH,0
NWL,1,1,2021-01-01,2023-09-18,MEDIUM,0
NWS,1,1,2021-01-01,2026-01-01,LOW,0
NWSA,1,1,2021-01-01,2026-01-01,LOW,0
NXPI,1,1,2021-03-22,2026-01-01,MEDIUM,0
O,1,1,2021-01-01,2026-01-01,MEDIUM,0
ODFL,1,1,2021-01-01,2026-01-01,LOW,0
OGN,1,1,2021-06-03,2023-10-18,HIGH,0
OKE,1,1,2021-01-01,2026-01-01,HIGH,0
OMC,1,1,2021-01-01,2026-01-01,MEDIUM,0
ON,1,1,2022-06-21,2026-01-01,MEDIUM,0
ORCL,1,1,2021-01-01,2026-01-01,HIGH,0
ORLY,1,1,2021-01-01,2026-01-01,LOW,0
OTIS,1,1,2021-01-01,2026-01-01,MEDIUM,0
OXY,1,1,2021-01-01,2026-01-01,MEDIUM,0
PANW,1,1,2023-06-20,2026-01-01,LOW,0
PAYC,1,1,2021-01-01,2026-01-01,MEDIUM,0
PAYX,1,1,2021-01-01,2026-01-01,HIGH,0
PBCT,1,1,2021-01-01,2022-04-04,LOW,0
PCAR,1,1,2021-01-01,2026-01-01,HIGH,0
PCG,1,1,2022-10-03,2026-01-01,HIGH,0
PEG,1,1,2021-01-01,2026-01-01,LOW,0
PENN,2,2,2021-03-22,2022-09-19,LOW,0
PEP,1,1,2021-01-01,2026-01-01,HIGH,0
PFE,1,1,2021-01-01,2026-01-01,HIGH,0
PFG,1,1,2021-01-01,2026-01-01,LOW,0
PG,1,1,2021-01-01,2026-01-01,LOW,0
PGR,1,1,2021-01-01,2026-01-01,HIGH,0
PH,1,1,2021-01-01,2026-01-01,MEDIUM,0
PHIN,1,1,2023-07-05,2023-07-06,HIGH,0
PHM,1,1,2021-01-01,2026-01-01,HIGH,0
PKG,1,1,2021-01-01,2026-01-01,LOW,0
PLD,1,1,2021-01-01,2026-01-01,HIGH,0
PLTR,1,1,2024-09-23,2026-01-01,MEDIUM,0
PM,1,1,2021-01-01,2026-01-01,LOW,0
PNC,1,1,2021-01-01,2026-01-01,LOW,0
PNR,1,1,2021-01-01,2026-01-01,HIGH,0
PNW,1,1,2021-01-01,2026-01-01,LOW,0
PODD,1,1,2023-03-15,2026-01-01,HIGH,0
POOL,1,1,2021-01-01,2026-01-01,HIGH,0
PPG,1,1,2021-01-01,2026-01-01,MEDIUM,0
PPL,1,1,2021-01-01,2026-01-01,HIGH,0
PRGO,1,1,2021-01-01,2021-09-20,HIGH,0
PRU,1,1,2021-01-01,2026-01-01,MEDIUM,0
PSA,1,1,2021-01-01,2026-01-01,MEDIUM,0
PSKY,1,1,2021-01-01,2026-01-01,LOW,0
PSX,1,1,2021-01-01,2026-01-01,MEDIUM,0
PTC,1,1,2021-04-20,2026-01-01,HIGH,0
PVH,1,1,2021-01-01,2022-09-19,HIGH,0
PWR,1,1,2021-01-01,2026-01-01,MEDIUM,0
PXD,1,1,2021-01-01,2024-05-08,LOW,0
PYPL,1,1,2021-01-01,2026-01-01,HIGH,0
Q,1,1,2025-11-03,2026-01-01,MEDIUM,0
QCOM,1,1,2021-01-01,2026-01-01,HIGH,0
QRVO,1,1,2021-01-01,2024-12-23,HIGH,0
RCL,1,1,2021-01-01,2026-01-01,LOW,0
REG,1,1,2021-01-01,2026-01-01,MEDIUM,0
REGN,1,1,2021-01-01,2026-01-01,MEDIUM,0
RF,1,1,2021-01-01,2026-01-01,MEDIUM,0
RHI,2,2,2021-01-01,2024-06-24,MEDIUM,0
RJF,1,1,2021-01-01,2026-01-01,LOW,0
RL,1,1,2021-01-01,2026-01-01,MEDIUM,0
RMD,1,1,2021-01-01,2026-01-01,HIGH,0
ROK,1,1,2021-01-01,2026-01-01,MEDIUM,0
ROL,1,1,2021-01-01,2026-01-01,HIGH,0
ROP,1,1,2021-01-01,2026-01-01,MEDIUM,0
ROST,1,1,2021-01-01,2026-01-01,MEDIUM,0
RSG,1,1,2021-01-01,2026-01-01,MEDIUM,0
RTX,2,2,2021-01-01,2026-01-01,HIGH,0
RVTY,2,2,2021-01-01,2026-01-01,HIGH,0
