security_key,latest_project_ticker,canonical_company_name,research_type,from_name_key,to_name_key,search_start_date,search_end_date,candidate_sec_cik,research_priority,required_source_standard,research_question
CEG,CEG,Constellation Energy,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001868275,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CHD,CHD,CHURCH + DWIGHT CO INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000313927,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CHRW,CHRW,C.H. ROBINSON WORLDWIDE INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001043277,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CHTR,CHTR,CHARTER COMMUNICATIONS INC A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001091667,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CL,CL,COLGATE PALMOLIVE CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000021665,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CLX,CLX,CLOROX COMPANY,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000021076,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CNP,CNP,CENTERPOINT ENERGY INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001130310,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CRL,CRL,Charles River Laboratories Intl,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001100682,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CSGP,CSGP,CoStar Group,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001057352,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CTSH,CTSH,COGNIZANT TECH SOLUTIONS A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001058290,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
DASH,DASH,DoorDash,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001792789,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
DE,DE,DEERE + CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000315189,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
EFX,EFX,EQUIFAX INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000033185,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
EL,EL,ESTEE LAUDER COMPANIES CL A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001001250,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
EXE,EXE,Expand Energy,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000895126,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
EXPD,EXPD,EXPEDITORS INTL WASH INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000746515,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
FANG,FANG,DIAMONDBACK ENERGY INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001539838,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
FICO,FICO,Fair Isaac & Co,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000814547,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
FIS,FIS,FIDELITY NATIONAL INFO SERV,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001136893,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
FIX,FIX,Comfort Systems USA,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001035983,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
GEHC,GEHC,GE HealthCare Technologies,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001932393,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
GEV,GEV,GE Vernova,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001996810,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
GILD,GILD,GILEAD SCIENCES INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000882095,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
HBAN,HBAN,HUNTINGTON BANCSHARES INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000049196,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
HII,HII,HUNTINGTON INGALLS INDUSTRIE,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001501585,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
HLT,HLT,HILTON WORLDWIDE HOLDINGS IN,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001585689,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
HST,HST,HOST HOTELS + RESORTS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001070750,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
IBM,IBM,INTL BUSINESS MACHINES CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000051143,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
ICE,ICE,INTERCONTINENTAL EXCHANGE IN,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001571949,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
IFF,IFF,INTL FLAVORS + FRAGRANCES,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000051253,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
INTU,INTU,INTUIT INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000896878,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
IVZ,IVZ,INVESCO LTD,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000914208,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
J,J,JACOBS SOLUTIONS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000052988,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
JBHT,JBHT,HUNT (JB) TRANSPRT SVCS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000728535,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
JCI,JCI,JOHNSON CONTROLS INTERNATION,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000833444,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
JKHY,JKHY,JACK HENRY + ASSOCIATES INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000779152,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
JNJ,JNJ,JOHNSON + JOHNSON,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000200406,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
JPM,JPM,JPMORGAN CHASE + CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000019617,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
KEYS,KEYS,KEYSIGHT TECHNOLOGIES IN,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001601046,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
KVUE,KVUE,Kenvue,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001944048,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LEN,LEN,LENNAR CORP A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000920760,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LH,LH,LABCORP HOLDINGS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000920148,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LLY,LLY,ELI LILLY + CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000059478,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LMT,LMT,LOCKHEED MARTIN CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000936468,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LNT,LNT,ALLIANT ENERGY CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000352541,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LYB,LYB,LYONDELLBASELL INDU CL A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001489393,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LYV,LYV,LIVE NATION ENTERTAINMENT IN,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001335258,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MA,MA,MASTERCARD INC   A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001141391,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MAA,MAA,MID AMERICA APARTMENT COMM,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000912595,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MAR,MAR,MARRIOTT INTERNATIONAL  CL A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001048286,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MDLZ,MDLZ,MONDELEZ INTERNATIONAL INC A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001103982,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MKC,MKC,MCCORMICK + CO NON VTG SHRS,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000063754,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MPWR,MPWR,Monolithic Power Systems,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001280452,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MRK,MRK,MERCK + CO. INC.,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000310158,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MRSH,MRSH,MARSH + MCLENNAN COS,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000062709,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MS,MS,MORGAN STANLEY,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000895421,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MTB,MTB,M + T BANK CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000036270,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
NCLH,NCLH,NORWEGIAN CRUISE LINE HOLDIN,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001513761,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
NRG,NRG,NRG ENERGY INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001013871,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
NXPI,NXPI,NXP Semiconductors,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001413447,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PANW,PANW,Palo Alto Networks,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001327567,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PCG,PCG,PG&E,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001004980,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PEG,PEG,PUBLIC SERVICE ENTERPRISE GP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000788784,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PFE,PFE,PFIZER INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000078003,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PG,PG,PROCTER + GAMBLE CO/THE,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000080424,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PH,PH,PARKER HANNIFIN CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000076334,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PSKY,PSKY,PARAMOUNT SKYDANCE CL B,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002041610,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
Q,Q,Qnity Electronics,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002058873,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
ROP,ROP,ROPER TECHNOLOGIES INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000882835,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SCHW,SCHW,SCHWAB (CHARLES) CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000316709,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SJM,SJM,JM SMUCKER CO/THE,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000091419,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SNDK,SNDK,Sandisk,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002023554,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SO,SO,SOUTHERN CO/THE,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000092122,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SOLV,SOLV,Solventum,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001964738,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SPG,SPG,SIMON PROPERTY GROUP INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001063761,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SPGI,SPGI,S+P GLOBAL INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000064040,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
STLD,STLD,Steel Dynamics,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001022671,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
STT,STT,STATE STREET CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000093751,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
STX,STX,SEAGATE TECHNOLOGY HOLDINGS,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001137789,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
STZ,STZ,CONSTELLATION BRANDS INC A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000016918,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SW,SW,SMURFIT WESTROCK PLC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002005951,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SWK,SWK,STANLEY BLACK + DECKER INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000093556,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SYF,SYF,SYNCHRONY FINANCIAL,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001601712,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
T,T,AT+T INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000732717,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TAP,TAP,MOLSON COORS BEVERAGE CO   B,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000024545,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TEL,TEL,TE CONNECTIVITY PLC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001385157,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TJX,TJX,TJX COMPANIES INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TKO,TKO,TKO Group Holdings,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001973266,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TRGP,TRGP,Targa Resources,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001389170,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TTWO,TTWO,TAKE TWO INTERACTIVE SOFTWRE,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000946581,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
UHS,UHS,UNIVERSAL HEALTH SERVICES B,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000352915,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
V,V,VISA INC CLASS A SHARES,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001403161,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
WAB,WAB,WABTEC CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000943452,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
WBD,WBD,Warner Bros. Discovery,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001437107,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
WFC,WFC,WELLS FARGO + CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000072971,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
WMT,WMT,WALMART INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000104169,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
