analysis_month_number,gics_sector,previous_winner_count,current_winner_count,overlap_count,entrant_count,exit_count,current_winner_retention,previous_winner_survival,jaccard_similarity
12,Utilities,5,5,3,2,2,0.6,0.6,0.42857142857142855
13,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
13,Consumer Discretionary,12,12,8,4,4,0.6666666666666666,0.6666666666666666,0.5
13,Consumer Staples,6,6,6,0,0,1.0,1.0,1.0
13,Energy,4,4,4,0,0,1.0,1.0,1.0
13,Financials,13,13,8,5,5,0.6153846153846154,0.6153846153846154,0.4444444444444444
13,Health Care,12,12,7,5,5,0.5833333333333334,0.5833333333333334,0.4117647058823529
13,Industrials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
13,Information Technology,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
13,Materials,5,5,3,2,2,0.6,0.6,0.42857142857142855
13,Real Estate,5,5,3,2,2,0.6,0.6,0.42857142857142855
13,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
14,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
14,Consumer Discretionary,12,12,9,3,3,0.75,0.75,0.6
14,Consumer Staples,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
14,Energy,4,4,3,1,1,0.75,0.75,0.6
14,Financials,13,13,8,5,5,0.6153846153846154,0.6153846153846154,0.4444444444444444
14,Health Care,12,12,6,6,6,0.5,0.5,0.3333333333333333
14,Industrials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
14,Information Technology,15,15,10,5,5,0.6666666666666666,0.6666666666666666,0.5
14,Materials,5,5,3,2,2,0.6,0.6,0.42857142857142855
14,Real Estate,5,5,3,2,2,0.6,0.6,0.42857142857142855
14,Utilities,5,5,3,2,2,0.6,0.6,0.42857142857142855
15,Communication Services,5,5,5,0,0,1.0,1.0,1.0
15,Consumer Discretionary,12,12,9,3,3,0.75,0.75,0.6
15,Consumer Staples,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
15,Energy,4,4,3,1,1,0.75,0.75,0.6
15,Financials,13,13,8,5,5,0.6153846153846154,0.6153846153846154,0.4444444444444444
15,Health Care,12,12,9,3,3,0.75,0.75,0.6
15,Industrials,14,14,8,6,6,0.5714285714285714,0.5714285714285714,0.4
15,Information Technology,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
15,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
15,Real Estate,5,5,4,1,1,0.8,0.8,0.6666666666666666
15,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
16,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
16,Consumer Discretionary,12,12,8,4,4,0.6666666666666666,0.6666666666666666,0.5
16,Consumer Staples,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
16,Energy,4,4,3,1,1,0.75,0.75,0.6
16,Financials,13,13,7,6,6,0.5384615384615384,0.5384615384615384,0.3684210526315789
16,Health Care,12,12,8,4,4,0.6666666666666666,0.6666666666666666,0.5
16,Industrials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
16,Information Technology,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
16,Materials,5,5,5,0,0,1.0,1.0,1.0
16,Real Estate,5,6,5,1,0,0.8333333333333334,1.0,0.8333333333333334
16,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
17,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
17,Consumer Discretionary,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
17,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
17,Energy,4,4,4,0,0,1.0,1.0,1.0
17,Financials,13,13,10,3,3,0.7692307692307693,0.7692307692307693,0.625
17,Health Care,12,13,8,5,4,0.6153846153846154,0.6666666666666666,0.47058823529411764
17,Industrials,14,14,12,2,2,0.8571428571428571,0.8571428571428571,0.75
17,Information Technology,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
17,Materials,5,5,3,2,2,0.6,0.6,0.42857142857142855
17,Real Estate,6,6,6,0,0,1.0,1.0,1.0
17,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
18,Communication Services,5,5,3,2,2,0.6,0.6,0.42857142857142855
18,Consumer Discretionary,12,11,8,3,4,0.7272727272727273,0.6666666666666666,0.5333333333333333
18,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
18,Energy,4,4,4,0,0,1.0,1.0,1.0
18,Financials,13,13,6,7,7,0.46153846153846156,0.46153846153846156,0.3
18,Health Care,13,12,10,2,3,0.8333333333333334,0.7692307692307693,0.6666666666666666
18,Industrials,14,14,12,2,2,0.8571428571428571,0.8571428571428571,0.75
18,Information Technology,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
18,Materials,5,5,5,0,0,1.0,1.0,1.0
18,Real Estate,6,6,2,4,4,0.3333333333333333,0.3333333333333333,0.2
18,Utilities,5,5,3,2,2,0.6,0.6,0.42857142857142855
19,Communication Services,5,5,3,2,2,0.6,0.6,0.42857142857142855
19,Consumer Discretionary,11,11,9,2,2,0.8181818181818182,0.8181818181818182,0.6923076923076923
19,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
19,Energy,4,4,4,0,0,1.0,1.0,1.0
19,Financials,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.7333333333333333
19,Health Care,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
19,Industrials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
19,Information Technology,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
19,Materials,5,5,3,2,2,0.6,0.6,0.42857142857142855
19,Real Estate,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
19,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
20,Communication Services,5,5,3,2,2,0.6,0.6,0.42857142857142855
20,Consumer Discretionary,11,11,9,2,2,0.8181818181818182,0.8181818181818182,0.6923076923076923
20,Consumer Staples,6,6,3,3,3,0.5,0.5,0.3333333333333333
20,Energy,4,4,3,1,1,0.75,0.75,0.6
20,Financials,13,13,6,7,7,0.46153846153846156,0.46153846153846156,0.3
20,Health Care,12,12,9,3,3,0.75,0.75,0.6
20,Industrials,14,14,11,3,3,0.7857142857142857,0.7857142857142857,0.6470588235294118
20,Information Technology,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
20,Materials,5,5,3,2,2,0.6,0.6,0.42857142857142855
20,Real Estate,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
20,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
21,Communication Services,5,5,5,0,0,1.0,1.0,1.0
21,Consumer Discretionary,11,11,10,1,1,0.9090909090909091,0.9090909090909091,0.8333333333333334
21,Consumer Staples,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
21,Energy,4,4,3,1,1,0.75,0.75,0.6
21,Financials,13,13,8,5,5,0.6153846153846154,0.6153846153846154,0.4444444444444444
21,Health Care,12,12,11,1,1,0.9166666666666666,0.9166666666666666,0.8461538461538461
21,Industrials,14,14,11,3,3,0.7857142857142857,0.7857142857142857,0.6470588235294118
21,Information Technology,15,15,12,3,3,0.8,0.8,0.6666666666666666
21,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
21,Real Estate,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
21,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
22,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
22,Consumer Discretionary,11,11,8,3,3,0.7272727272727273,0.7272727272727273,0.5714285714285714
22,Consumer Staples,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
22,Energy,4,4,2,2,2,0.5,0.5,0.3333333333333333
22,Financials,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.7333333333333333
22,Health Care,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
22,Industrials,14,14,12,2,2,0.8571428571428571,0.8571428571428571,0.75
22,Information Technology,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
22,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
22,Real Estate,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
22,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
23,Communication Services,5,5,5,0,0,1.0,1.0,1.0
23,Consumer Discretionary,11,11,11,0,0,1.0,1.0,1.0
23,Consumer Staples,6,6,6,0,0,1.0,1.0,1.0
23,Energy,4,4,3,1,1,0.75,0.75,0.6
23,Financials,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.7333333333333333
23,Health Care,12,12,9,3,3,0.75,0.75,0.6
23,Industrials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
23,Information Technology,15,15,10,5,5,0.6666666666666666,0.6666666666666666,0.5
23,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
23,Real Estate,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
23,Utilities,5,5,3,2,2,0.6,0.6,0.42857142857142855
24,Communication Services,5,5,5,0,0,1.0,1.0,1.0
24,Consumer Discretionary,11,11,10,1,1,0.9090909090909091,0.9090909090909091,0.8333333333333334
24,Consumer Staples,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
24,Energy,4,4,2,2,2,0.5,0.5,0.3333333333333333
24,Financials,13,13,12,1,1,0.9230769230769231,0.9230769230769231,0.8571428571428571
24,Health Care,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
24,Industrials,14,14,13,1,1,0.9285714285714286,0.9285714285714286,0.8666666666666667
24,Information Technology,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
24,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
24,Real Estate,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
24,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
25,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
25,Consumer Discretionary,11,11,9,2,2,0.8181818181818182,0.8181818181818182,0.6923076923076923
25,Consumer Staples,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
25,Energy,4,4,3,1,1,0.75,0.75,0.6
25,Financials,13,13,12,1,1,0.9230769230769231,0.9230769230769231,0.8571428571428571
25,Health Care,12,12,11,1,1,0.9166666666666666,0.9166666666666666,0.8461538461538461
25,Industrials,14,14,12,2,2,0.8571428571428571,0.8571428571428571,0.75
25,Information Technology,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
25,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
25,Real Estate,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
25,Utilities,5,6,4,2,1,0.6666666666666666,0.8,0.5714285714285714
26,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
26,Consumer Discretionary,11,11,8,3,3,0.7272727272727273,0.7272727272727273,0.5714285714285714
26,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
26,Energy,4,4,2,2,2,0.5,0.5,0.3333333333333333
26,Financials,13,13,9,4,4,0.6923076923076923,0.6923076923076923,0.5294117647058824
26,Health Care,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
26,Industrials,14,14,6,8,8,0.42857142857142855,0.42857142857142855,0.2727272727272727
26,Information Technology,15,15,12,3,3,0.8,0.8,0.6666666666666666
26,Materials,5,5,3,2,2,0.6,0.6,0.42857142857142855
26,Real Estate,6,6,6,0,0,1.0,1.0,1.0
26,Utilities,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
27,Communication Services,5,4,4,0,1,1.0,0.8,0.8
27,Consumer Discretionary,11,10,7,3,4,0.7,0.6363636363636364,0.5
27,Consumer Staples,6,7,5,2,1,0.7142857142857143,0.8333333333333334,0.625
27,Energy,4,4,3,1,1,0.75,0.75,0.6
27,Financials,13,14,8,6,5,0.5714285714285714,0.6153846153846154,0.42105263157894735
27,Health Care,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
27,Industrials,14,15,10,5,4,0.6666666666666666,0.7142857142857143,0.5263157894736842
27,Information Technology,15,12,9,3,6,0.75,0.6,0.5
27,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
27,Real Estate,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
27,Utilities,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
28,Communication Services,4,4,3,1,1,0.75,0.75,0.6
28,Consumer Discretionary,10,10,6,4,4,0.6,0.6,0.42857142857142855
28,Consumer Staples,7,7,6,1,1,0.8571428571428571,0.8571428571428571,0.75
28,Energy,4,4,3,1,1,0.75,0.75,0.6
28,Financials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
28,Health Care,12,12,7,5,5,0.5833333333333334,0.5833333333333334,0.4117647058823529
28,Industrials,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.5789473684210527
28,Information Technology,12,12,8,4,4,0.6666666666666666,0.6666666666666666,0.5
28,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
28,Real Estate,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
28,Utilities,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
29,Communication Services,4,4,3,1,1,0.75,0.75,0.6
29,Consumer Discretionary,10,10,8,2,2,0.8,0.8,0.6666666666666666
29,Consumer Staples,7,7,5,2,2,0.7142857142857143,0.7142857142857143,0.5555555555555556
29,Energy,4,4,3,1,1,0.75,0.75,0.6
29,Financials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
29,Health Care,12,12,9,3,3,0.75,0.75,0.6
29,Industrials,15,15,9,6,6,0.6,0.6,0.42857142857142855
29,Information Technology,12,12,8,4,4,0.6666666666666666,0.6666666666666666,0.5
29,Materials,5,5,3,2,2,0.6,0.6,0.42857142857142855
29,Real Estate,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
29,Utilities,6,6,6,0,0,1.0,1.0,1.0
30,Communication Services,4,4,4,0,0,1.0,1.0,1.0
30,Consumer Discretionary,10,10,6,4,4,0.6,0.6,0.42857142857142855
30,Consumer Staples,7,7,5,2,2,0.7142857142857143,0.7142857142857143,0.5555555555555556
30,Energy,4,4,4,0,0,1.0,1.0,1.0
30,Financials,14,14,7,7,7,0.5,0.5,0.3333333333333333
30,Health Care,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
30,Industrials,15,15,10,5,5,0.6666666666666666,0.6666666666666666,0.5
30,Information Technology,12,13,8,5,4,0.6153846153846154,0.6666666666666666,0.47058823529411764
30,Materials,5,5,3,2,2,0.6,0.6,0.42857142857142855
30,Real Estate,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
30,Utilities,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
31,Communication Services,4,4,4,0,0,1.0,1.0,1.0
31,Consumer Discretionary,10,10,6,4,4,0.6,0.6,0.42857142857142855
31,Consumer Staples,7,7,5,2,2,0.7142857142857143,0.7142857142857143,0.5555555555555556
31,Energy,4,4,3,1,1,0.75,0.75,0.6
31,Financials,14,14,8,6,6,0.5714285714285714,0.5714285714285714,0.4
31,Health Care,12,12,9,3,3,0.75,0.75,0.6
31,Industrials,15,15,12,3,3,0.8,0.8,0.6666666666666666
31,Information Technology,13,13,10,3,3,0.7692307692307693,0.7692307692307693,0.625
31,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
31,Real Estate,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
31,Utilities,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
32,Communication Services,4,4,3,1,1,0.75,0.75,0.6
32,Consumer Discretionary,10,10,8,2,2,0.8,0.8,0.6666666666666666
32,Consumer Staples,7,7,5,2,2,0.7142857142857143,0.7142857142857143,0.5555555555555556
32,Energy,4,4,3,1,1,0.75,0.75,0.6
32,Financials,14,14,7,7,7,0.5,0.5,0.3333333333333333
32,Health Care,12,12,9,3,3,0.75,0.75,0.6
32,Industrials,15,15,12,3,3,0.8,0.8,0.6666666666666666
32,Information Technology,13,13,10,3,3,0.7692307692307693,0.7692307692307693,0.625
32,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
32,Real Estate,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
32,Utilities,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
33,Communication Services,4,4,3,1,1,0.75,0.75,0.6
33,Consumer Discretionary,10,10,7,3,3,0.7,0.7,0.5384615384615384
33,Consumer Staples,7,7,6,1,1,0.8571428571428571,0.8571428571428571,0.75
33,Energy,4,4,4,0,0,1.0,1.0,1.0
33,Financials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
33,Health Care,12,12,9,3,3,0.75,0.75,0.6
33,Industrials,15,15,12,3,3,0.8,0.8,0.6666666666666666
33,Information Technology,13,13,10,3,3,0.7692307692307693,0.7692307692307693,0.625
33,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
33,Real Estate,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
33,Utilities,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
34,Communication Services,4,4,2,2,2,0.5,0.5,0.3333333333333333
34,Consumer Discretionary,10,10,8,2,2,0.8,0.8,0.6666666666666666
34,Consumer Staples,7,7,6,1,1,0.8571428571428571,0.8571428571428571,0.75
34,Energy,4,4,2,2,2,0.5,0.5,0.3333333333333333
34,Financials,14,14,11,3,3,0.7857142857142857,0.7857142857142857,0.6470588235294118
34,Health Care,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
34,Industrials,15,15,13,2,2,0.8666666666666667,0.8666666666666667,0.7647058823529411
34,Information Technology,13,12,10,2,3,0.8333333333333334,0.7692307692307693,0.6666666666666666
34,Materials,5,5,2,3,3,0.4,0.4,0.25
34,Real Estate,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
34,Utilities,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
35,Communication Services,4,4,2,2,2,0.5,0.5,0.3333333333333333
35,Consumer Discretionary,10,10,8,2,2,0.8,0.8,0.6666666666666666
