target_type,priority_rank,security_key,project_ticker,analysis_month_number,ranking_month_end_date,theme_count,theme_codes,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,M01,M02,M03,M04,M05,M06,M07
SECURITY,16,LYV,LYV,,,2,S05 | S07,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
SECURITY,17,LLY,LLY,,,1,S05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,18,COST,COST,,,1,S10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SECURITY,19,TPL,TPL,,,2,S04 | S05,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,20,NVDA,NVDA,,,1,S01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,21,WMB,WMB,,,3,S01 | S02 | S05,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,22,SPG,SPG,,,2,S05 | S08,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SECURITY,23,RCL,RCL,,,2,S05 | S07,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
SECURITY,24,WBD,WBD,,,2,S06 | S09,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
SECURITY,25,ADM,ADM,,,1,S04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,26,NEM,NEM,,,2,S04 | S09,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
SECURITY,27,ANET,ANET,,,1,S01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,28,WMT,WMT,,,2,S06 | S10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
SECURITY,29,CBRE,CBRE,,,1,S08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SECURITY,30,WELL,WELL,,,2,S05 | S08,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
MONTH,1,,,56,2025-08-29,3,M03 | M05 | M07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MONTH,2,,,2,2021-02-26,1,M01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MONTH,3,,,24,2022-12-30,2,M04 | M06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
MONTH,4,,,22,2022-10-31,3,M02 | M04 | M05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
MONTH,5,,,12,2021-12-31,2,M02 | M05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
MONTH,6,,,36,2023-12-29,3,M02 | M05 | M07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
MONTH,7,,,1,2021-01-29,1,M01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MONTH,8,,,50,2025-02-28,2,M04 | M07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
MONTH,9,,,48,2024-12-31,2,M05 | M06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
MONTH,10,,,35,2023-11-30,2,M02 | M04,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MONTH,11,,,42,2024-06-28,3,M02 | M04 | M07,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
MONTH,12,,,37,2024-01-31,2,M02 | M05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
MONTH,13,,,46,2024-10-31,3,M03 | M05 | M07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MONTH,14,,,19,2022-07-29,3,M02 | M04 | M05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
MONTH,15,,,43,2024-07-31,3,M03 | M04 | M07,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
