analysis_month_number,commonality_factor_equal_weight_residual,positive_residual_sector_count,cross_sector_residual_std,ranking_month_end_date,return_period_end_date,absolute_commonality_factor,largest_absolute_sector_share_of_monthly_residual_activity,absolute_commonality_rank,pc1_score,pc1_score_z,research_priority_rank,research_priority_band
20,0.013974997835212,9,0.0195769319287126,2022-08-31,2022-09-30,0.013974997835212,0.206992512666307,25,1.4867315841105828,0.863514383188893,25,TIER_3_REMAINDER
25,0.0138729690242993,8,0.0197384278243838,2023-01-31,2023-02-28,0.0138729690242993,0.2008030753279403,26,1.0453553069601416,0.6071569022615056,26,TIER_3_REMAINDER
44,0.0131559473403163,7,0.0320610859106355,2024-08-30,2024-09-30,0.0131559473403163,0.4267396566034248,27,1.3319407862926462,0.7736097348114692,27,TIER_3_REMAINDER
34,0.0126267700200857,7,0.0301607831697305,2023-10-31,2023-11-30,0.0126267700200857,0.2100615908179376,28,1.671652391923883,0.9709189604537402,28,TIER_3_REMAINDER
7,0.012173374055108,9,0.0200688387427506,2021-07-30,2021-08-31,0.012173374055108,0.1859271556840678,29,1.2231104150024354,0.7103995414307288,29,TIER_3_REMAINDER
13,0.0119494207845293,5,0.0508709408204336,2022-01-31,2022-02-28,0.0119494207845293,0.3730206706987664,30,-0.0256299363289312,-0.0148862235098662,30,TIER_3_REMAINDER
53,-0.0108125408351624,2,0.018022528636857,2025-05-30,2025-06-30,0.0108125408351624,0.1913073793650305,31,-1.307443652182743,-0.7593814585867037,31,TIER_3_REMAINDER
6,-0.0101285285565611,2,0.0310784918162762,2021-06-30,2021-07-30,0.0101285285565611,0.200745310449268,32,-1.2134578163037073,-0.7047931778472925,32,TIER_3_REMAINDER
18,-0.009238506382375,4,0.0324799973798048,2022-06-30,2022-07-29,0.009238506382375,0.2199441860547732,33,-1.9118231069878933,-1.1104134523277411,33,TIER_3_REMAINDER
10,-0.0089659536708787,2,0.0224430989279758,2021-10-29,2021-11-30,0.0089659536708787,0.1676847105865419,34,-1.1482513915333976,-0.666920379376295,34,TIER_3_REMAINDER
15,-0.008876295590203,4,0.0180206928819511,2022-03-31,2022-04-29,0.008876295590203,0.2217141488079748,35,-1.1281163796400433,-0.6552256844082102,35,TIER_3_REMAINDER
17,0.0083588027088511,7,0.0391683493796614,2022-05-31,2022-06-30,0.0083588027088511,0.1879808112065856,36,1.919336224176228,1.114777175291622,36,TIER_3_REMAINDER
23,-0.0072981595634097,6,0.038783144985641,2022-11-30,2022-12-30,0.0072981595634097,0.2132314466701681,37,-0.1513784750442091,-0.0879227238480142,37,TIER_3_REMAINDER
11,-0.0068449511039414,4,0.0236104167454854,2021-11-30,2021-12-31,0.0068449511039414,0.2140097901615357,38,-1.0846473480196286,-0.6299782662268197,38,TIER_3_REMAINDER
31,0.0067270697611475,8,0.0235323565667028,2023-07-31,2023-08-31,0.0067270697611475,0.1321417156608664,39,0.970624163403617,0.5637520146389574,39,TIER_3_REMAINDER
54,-0.0063128062593659,6,0.0344940303624092,2025-06-30,2025-07-31,0.0063128062593659,0.3271466743727665,40,-0.0058557193570261,-0.0034010832505012,40,TIER_3_REMAINDER
47,-0.0059751641454837,3,0.0235211005908518,2024-11-29,2024-12-31,0.0059751641454837,0.1672928334523738,41,-0.6211246021477171,-0.3607578082279705,41,TIER_3_REMAINDER
4,0.0057917762034896,6,0.0188356972451954,2021-04-30,2021-05-28,0.0057917762034896,0.268284064638598,42,0.4830009690758743,0.2805336809607786,42,TIER_3_REMAINDER
40,0.00553998713446,7,0.0313287429980954,2024-04-30,2024-05-31,0.00553998713446,0.188995737226065,43,1.031644444762326,0.5991934427908996,43,TIER_3_REMAINDER
52,-0.0050563676581227,6,0.0392574232213324,2025-04-30,2025-05-30,0.0050563676581227,0.2075889191855356,44,-0.0785932106015393,-0.0456480298802713,44,TIER_3_REMAINDER
26,0.004974391368723,5,0.0266541121537629,2023-02-28,2023-03-31,0.004974391368723,0.2357164858594876,45,0.684616955055925,0.3976350499202172,45,TIER_3_REMAINDER
33,0.0048159159545982,6,0.0189420915473914,2023-09-29,2023-10-31,0.0048159159545982,0.1738879064638591,46,0.2627262115422795,0.1525950379558303,46,TIER_3_REMAINDER
39,-0.0047691818457908,3,0.0190750453340144,2024-03-28,2024-04-30,0.0047691818457908,0.2655838446061844,47,-0.0450225193877138,-0.0261497054842953,47,TIER_3_REMAINDER
59,-0.0046790653000441,3,0.0439212156571273,2025-11-28,2025-12-31,0.0046790653000441,0.3099792407657182,48,-0.2271970355584436,-0.1319591983646202,48,TIER_3_REMAINDER
27,-0.004284561570165,6,0.0329877145138733,2023-03-31,2023-04-28,0.004284561570165,0.2804427494800389,49,0.4827423824586255,0.2803834902567665,49,TIER_3_REMAINDER
8,0.0038951094595815,5,0.0251074716992225,2021-08-31,2021-09-30,0.0038951094595815,0.1988204081604261,50,0.403363487749627,0.2342791241187034,50,TIER_3_REMAINDER
41,0.0034828197343235,6,0.022124784134394,2024-05-31,2024-06-28,0.0034828197343235,0.2051097467390349,51,0.2083660942848491,0.1210219257509749,51,TIER_3_REMAINDER
58,0.0031069545891763,4,0.0276266255210648,2025-10-31,2025-11-28,0.0031069545891763,0.1847481577233067,52,0.0107694659491592,0.0062550556171344,52,TIER_3_REMAINDER
5,-0.0026792784585861,4,0.0402620587285465,2021-05-28,2021-06-30,0.0026792784585861,0.3020366994026139,53,-0.5126047689683115,-0.2977279797012995,53,TIER_3_REMAINDER
3,-0.0010463437925989,6,0.0377759101423854,2021-03-31,2021-04-30,0.0010463437925989,0.3121741133608254,54,-0.0575694919920623,-0.0334371616903283,54,TIER_3_REMAINDER
29,0.0005910370618961,5,0.0238540862355505,2023-05-31,2023-06-30,0.0005910370618961,0.2257085973268547,55,-0.079226909780909,-0.0460160911778512,55,TIER_3_REMAINDER
28,-0.0003828212947141,6,0.0275556251872241,2023-04-28,2023-05-31,0.0003828212947141,0.2399959114865771,56,-0.1695774416902467,-0.0984929368077595,56,TIER_3_REMAINDER
38,6.43981556931439e-05,6,0.0191497659683227,2024-02-29,2024-03-28,6.43981556931439e-05,0.1407852777618583,57,0.099605988584852,0.0578525436023634,57,TIER_3_REMAINDER
32,-2.9990140570888204e-05,6,0.0205097656041234,2023-08-31,2023-09-29,2.9990140570888204e-05,0.170977255036872,58,-0.4117248740732191,-0.2391355335950246,58,TIER_3_REMAINDER
49,-2.5337452551444826e-06,6,0.0369300432405906,2025-01-31,2025-02-28,2.5337452551444826e-06,0.1690953868921735,59,-0.6336395536281417,-0.3680266661198427,59,TIER_3_REMAINDER
